Artist	Cover Artist	Full Title	Image Files	Plot	Publisher	Series	Writer	Issue No.	Barcode
Simone Bianchi	Simone Bianchi	Inhumanity, Inhumanity		INHUMANITY TIE-IN! - 'THE OTHER SIDE' - With the consequences of Infinity fresh on their minds, tough decisions are made. - The gathering of a new Illuminati. - We learn more about the other beings related to the Incursions.	Marvel Comics	New Avengers, Vol. 3	Jonathan Hickman	13	75960607910001311
		Love at First Sight			DC Comics	Supergirl, Vol. 5	Joe Kelly	13	76194124904901311
	Giuseppe Camuncoli	No Escape, Part Three: The Slayers & The Slain		Part Three of 'No Escape'! - Superior Spider-Man teams up with the Lizard! - Mayor Jameson demands that Spider-Man KILL the Spider-Slayer!	Marvel Comics	Superior Spider-Man		13	75960607912401311
		Plausible Deniability		Cap is trying to find a way to help Andrew Bolt without the symbol of Captain America taking partisan sides.  He investigates the opposition, and really doesn't like the pockets the campaign funds are paid from.	Marvel Comics	Captain America, Vol. 3	Mark Waid	13	75960604455901311
	Greg Land	The Secret Origin of Tony Stark: The Best Offense, Part One		'THE SECRET ORIGIN OF TONY STARK' CONTINUES! - That ulterior motive? It's huge. Let's go inside it. - At a deserted battlefield from the beginning of time, we discover The Best Offense.	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	13	75960607909401311
Sara Pichelli; David Marquez	Sara Pichelli	The Trial of Jean Grey, Part 6		The conclusion of THE TRIAL OF JEAN GREY leaves two teams devastated!	Marvel Comics	Guardians of the Galaxy, Vol. 3	Brian Michael Bendis	13	75960607830101311
Simone Bianchi	Simone Bianchi	The Agamotto Gambit		THE SECRET OF THE BLACK SWAN...	Marvel Comics	New Avengers, Vol. 3	Jonathan Hickman	14	75960607910001411
	Steve McNiven	The Day Nor the Hour		LEGENDARY ARTIST STEVE MCNIVEN (CIVIL WAR, GUARDIANS OF THE GALAXY) JOINS RICK REMENDER (CAPTAIN AMERICA, UNCANNY X-FORCE) IN SHAKING THE MARVEL UNIVERSE TO ITS CORE! - How many Avengers must die to stop the Apocalypse Twins?! - Wolverine fails mankind. Daken has his revenge. - Wanda confesses her true love. Grim Reaper has his revenge. - A heart-wrenching and desperate tale of betrayal, love, revenge and sacrifice.	Marvel Comics	Uncanny Avengers	Rick Remender	14	75960607826401411
	Humberto Ramos	A Blind Eye		- It's SUPERIOR SPIDER-MONTH as the biggest new book of the year brings you its biggest twist yet! - The Superior Spider-Man takes down Shadowland. - All of it. To the ground.	Marvel Comics	Superior Spider-Man	Dan Slott	14	75960607912401411
	Adi Granov	Civil War, Civil War		Tony is now dealing with Happy's condition on top of his regular Civil War stress.  Pepper pleads with him to euthanize Happy, based on a conversation Happy once had with her about boxers in similar conditions.  Confrontations with Cap's group do not help matters.	Marvel Comics	Iron Man, Vol. 4	Daniel Knauf; Charles Knauf	14	75960605653801411
Stefano Caselli	Leinil Francis Yu	Prelude to Infinity, The Signal		'THE SIGNAL' - Prelude to Infinity - All of the Origin Sites go active as the Earth begins to communicate with something much more ancient than human civilizations. - The Terror scientists of A.I.M. unveil the S7 program. - Prelude to INFINITY: Part One.	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman; Nick Spencer	14	75960607902501411
	Greg Land	The Secret Origin of Tony Stark: The Best Offense, Part Two		MORE MIND-BLOWING REVELATIONS AS 'THE SECRET ORIGIN OF TONY STARK' CONTINUES! - Free at last, all IRON MAN has to do is fight a robot who can take over his armor at any time and avoid one of the universe's greatest bounty-hunters...DEATH'S HEAD. - An impossible choice at the edge of space will decide the fate of two worlds. Who lives? Who dies? - And can TONY STARK somehow find a way to avoid his destiny...	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	14	75960607909401411
	Stéphane Roux	Special			DC Comics	Supergirl, Vol. 5	Joe Kelly	14	76194124904901411
Salvador Larroca	Salvador Larroca	Dark Reign - World's Most Wanted, Part 8: The Danger We're All In		Tony's mind is rapidly deteriorating, to the point where his mind is merely... normal.  He's just barely starting to learn how to cope with this when Whitney Frost tracks him down, and it's not a pleasant reunion.	Marvel Comics	Invincible Iron Man	Matt Fraction	15	75960606427401511
	Gerald Parel	Director of S.H.I.E.L.D. - The Initiative		Timothy Dum Dum Dugan is meeting with a superior officer, reporting on what he feels to be problems with the way Tony Stark is running S.H.I.E.L.D.  Dum Dum expresses concern over Stark's critical role in several recent operations, all of which were undeniably successful with his influence, but which would have been undeniable failures had Stark not been physically present to contribute directly.  Dum Dum is concerned about changes being made to the operation of the organization, as well as the probable connections between several recent terrorist activities.	Marvel Comics	Iron Man, Vol. 4	Daniel Knauf; Charles Knauf	15	75960605653801511
Stefano Caselli	Leinil Francis Yu	Prelude to Infinity, Sent and Received		'ECHO TERRA' - Prelude to INFINITY: Part Two. - Aliens races fleeing an intergalactic terror crash to Earth, just as the Avengers are occupied with the now-active Origin Sites! - Captain Universe and Manifold take a trip across the universe.	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman; Nick Spencer	15	75960607902501511
	Steve McNiven	Rapture		After the numerous deaths last issue the Avengers Unity Squad is left shattered and broken. The fate of humanity rests in the hands of Thor, but can the God of Thunder defeat the combined might of two Apocalypses? At the same time The Wasp fights for her life against the unparalleled might of The Sentry!	Marvel Comics	Uncanny Avengers	Rick Remender	15	75960607826401511
	Humberto Ramos	Run, Goblin, Run!, Part 1: The Tinkerer's Apprentice		'Run, Goblin, Run!' Part 1 of 2 - What's it like to be a villain in the Marvel Universe...once the Superior Spider-Man sets his sights on you? - Find out, from Phil Urich's point of view, in what might be the final days of the Hobgoblin. - Plus, what is the secret of 'The Tinkerer's Apprentice'? Who's been helping the Terrible Tinkerer? And how is he, of all people, the reason everything in Spider-Man's life will be changed forever?!	Marvel Comics	Superior Spider-Man	Dan Slott	15	75960607912401511
	Greg Land	The Secret Origin of Tony Stark: The Best Offense, Part Three		MORE MIND-BLOWING REVELATIONS AS 'THE SECRET ORIGIN OF TONY STARK' CONTINUES! - 451 VS TONY STARK. The final battle. - 451 VS TONY STARK. The final team-up. - And then it ALL goes wrong.	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	15	75960607909401511
	Simone Bianchi	See How the Swans Fly		Meet the Mapmakers, cartographers of the Apocalypse. Doctor Strange sells his soul. Reed Richards and the Illuminati rekindle an old relationship.	Marvel Comics	New Avengers, Vol. 3	Jonathan Hickman	15	75960607910001511
Stefano Caselli	Leinil Francis Yu	Prelude to Infinity, To the End		'THE TWO WORLDS SOLUTION' - Prelude to INFINITY: Part Three. - The battle between the Avengers and Mad Earth heats up. - Whatever happened to Ex Nihilo and Abyss, and for that matter, Starbrand and Nightmask as well?	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman; Nick Spencer	16	75960607902501611
	Humberto Ramos	Run, Goblin, Run!, Part 2		'Run, Goblin, Run!' Part 2 of 2 - How has the Hobgoblin evaded the Superior Spider-Man for so long? And does that hold the key to the Superior Spider-Man's greatest success -- or greatest failure? It's the end of the line for Hobgoblin, and possibly an end for a big chapter in the history of Spider-Man.	Marvel Comics	Superior Spider-Man	Dan Slott	16	75960607912401611
	Greg Land	The Secret Origin of Tony Stark: The Best Offense, Part Four		MORE MIND-BLOWING REVELATIONS AS 'THE SECRET ORIGIN OF TONY STARK' CONTINUES! - An escape from the scene of the crime. - How is TONY STARK deceiving the GUARDIANS OF THE GALAXY? - A surprise Tony was trying to avoid...	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	16	75960607909401611
	Steve McNiven	Yesterday Didn't Exist		The main event! Thor vs Uriel! Feral and vengeful after the death of a teammate, Thor is a mad God out for blood! The heroes of Earth rally to stop the unimaginable evil the Twins have released! In order to stop the Twins, The Wasp must do something that will curse her evermore!	Marvel Comics	Uncanny Avengers	Rick Remender	16	75960607826401611
Salvador Larroca	Salvador Larroca	Dark Reign - World's Most Wanted, Part 10: Ashes and Snow		Tony Stark has almost completed his mind wipe.  He escapes Whitney Frost to run undercover, but without his old brainpower to back him up, he may not be able to evade Osborn for long.  Meanwhile, Frost has claimed responsibility for the death of Pepper Potts, and brings her armor to Norman as a trophy.	Marvel Comics	Invincible Iron Man	Matt Fraction	17	75960606427401711
	Ryan Stegman	Let's Do the Time Warp Again		- HE'S BACK...BECAUSE YOU (LOUDLY) DEMANDED IT! THE RETURN OF SPIDEY 2099! - (and an Osborn you have not seen in a while)	Marvel Comics	Superior Spider-Man	Dan Slott	17	75960607912401711
Marco Rudy; Stefano Caselli; Marco Checchetto	Leinil Francis Yu	Prelude to Infinity, ...To the Light		'ALL QUIET' - The Avengers recruit more members to deal with the soon-arriving threat to Earth. - The Builders enter the Marvel Universe. - The Finale of the Prelude to INFINITY: Part Four.	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman; Nick Spencer	17	75960607902501711
	Steve McNiven	Ragnarok Now		The conclusion of Ragnarök Now! - The Avengers Assemble! But are they too late? - The Twins' revenge on Kang is complete, but at what cost? - Planet X is born!	Marvel Comics	Uncanny Avengers	Rick Remender	17	75960607826401711
	Paul Renaud	The Secret Origin of Tony Stark: The Best Offense, Conclusion		NOTHING WILL EVER BE THE SAME! MORE MIND-BLOWING REVELATIONS AS 'THE SECRET ORIGIN OF TONY STARK' CONCLUDES!  - What 451 didn't know.  - What TONY didn't know.  - What changes things FOREVER.	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	17	75960607909401711
	Leonel Castellani	The Secret Origin of Tony Stark: The Best Offense, Conclusion		NOTHING WILL EVER BE THE SAME! MORE MIND-BLOWING REVELATIONS AS 'THE SECRET ORIGIN OF TONY STARK' CONCLUDES!  - What 451 didn't know.  - What TONY didn't know.  - What changes things FOREVER.	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	17	75960607909401731
Daniel Acuña	Daniel Acuña	Avenge the Earth, Part One		'AVENGE THE EARTH' Part One Welcome to Planet X, the new mutant homeworld, where everything is great-presuming that you possess the mutant gene! Janet Van Dyne, the Wasp, is the last human being alive, relentlessly pursued by Magneto and his All-New X-Force and their 'No More Humans' campaign, and protected by her husband, Havok! Witness the fate of the Uncanny Avengers--who survived the Apocalypse Twins' plot, and how?	Marvel Comics	Uncanny Avengers	Rick Remender	18	75960607826401811
Kaare Andrews	Frank Cho	Civil War, Here Come A Storm		T'Challa and Ororo are finally getting married.  With friends on both sides of the Superhuman Registration Act, the tensions at the wedding run extremely high.  However, they manage to create a truce long enough to last through the ceremony and send the guests on their way.	Marvel Comics	Black Panther, Vol. 4	Reginald Hudlin	18	75960605583801811
Salvador Larroca	Salvador Larroca	Dark Reign - World's Most Wanted, Part 11: Kids With Guns Vs. The Eternal Angel of Death		Tony Stark has fled to Afghanistan, the birthplace of Iron Man.  He's converted the cave in which he created the first Iron Man suit into a lab, and now that first suit is the only one simple enough for him to operate.  But it was far from his most sophisticated design.  A H.A.M.M.E.R. computer-jockey has picked up his repulsor signature, and Norman Osborn is on his way for a confrontation.  But back at Avengers Tower, someone close to Tony has infiltrated Osborn's lair and is preparing to break out both Maria Hill and Black Widow.	Marvel Comics	Invincible Iron Man	Matt Fraction	18	75960606427401811
	Leinil Francis Yu	Infinity, Avenger's Universe 1		- Deep in space, the Avengers join the Council of Worlds as they declare war on their cosmic invaders. - The rebirth of the Skrull Empire. - The first encounter with the Builders.	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	18	75960607902501811
	Paul Rivoche	Iron Metropolitan, Part 1		AN ALL NEW ARC BEGINS! 'IRON METROPOLITAN' PART ONE! - TONY STARK has returned from space with a vision of a better world. - Who is his secret ally? What is his secret resource? Who on Earth would stop him? - The MANDARIN is dead. He died at the end of Fraction's run. There's probably a reason why we're mentioning it.	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	18	75960607909401811
	Ryan Stegman	Smack to the Future		- Superior Spider-Man vs. Spider-Man 2099. Who will be the most superior Spider in the Multi-verse? - Plus: secrets uncovered in time!	Marvel Comics	Superior Spider-Man	Dan Slott	18	75960607912401811
	Ryan Stegman	1.21 Giga-Whats?!		Necessary Evil CONCLUDES!  - The moment that changes world of Spider-Man-- and the Marvel Universe for years to come.  - Which Spider-Man is responsible for such a thing? Spider-Man 2099 or the Superior Spider-Man?  - Major developments for both Spider-Man's cast... and for the future.	Marvel Comics	Superior Spider-Man	Dan Slott	19	75960607912401911
Leinil Francis Yu	Leinil Francis Yu	Infinity, Building Towards Collapse		The Avengers, prisoners of war! One last desperate plan. Betrayal in the Galactic Council.	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	19	75960607902501911
	Paul Rivoche	Iron Metropolitan, Part 2		'IRON METROPOLITAN' PART TWO! - Pepper meets P.E.P.P.E.R. Uh-oh. - Pepper discovers Tony's family secret. A whole different kind of Uh-Oh. - The grand unveiling of the core of Troy, Tony's Iron Metropolitan in Mandarin City. What could go wrong?	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	19	75960607909401911
	Leinil Francis Yu	Infinity, The Offer		INFINITY TIE-IN - 'AVENGERS UNIVERSE: III' - Unexpected overtures from the Builders. - A meeting of Ex Nihilos. - Total, unconditional surrender.	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	20	75960607902502011
	Paul Rivoche	Inhumanity - Iron Metropolitan			Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	20	75960608013700111
	Paul Rivoche	Inhumanity - Iron Metropolitan, Part 3		INHUMANITY TIE-IN! - IRON METROPOLITAN PART THREE! CLASSIFIED!	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	20	75960607909402011
		Spidey Still Standing		From the fallout of NECESSARY EVIL, comes new beginnings and new twists that will be felt in the pages of Spider-Man for years to come! SUPERIOR SPIDER-MAN #20 is where it all starts! Do NOT miss this one!  - It's the first ever adventure for the Superior Spider-Man and the Black Cat. Felicia Hardy always cared for the Spider more than the man. But what happens when that man is Otto Octavius?  - Plus: A day Otto has been waiting for is finally here. Is the world ready for 'Dr. Peter Parker'... and what he plans to do next?	Marvel Comics	Superior Spider-Man	Dan Slott	20	75960607912402011
Salvador Larroca	Salvador Larroca	Stark: Disassembled, Part 1: Counting Up From Zero		Tony Stark is gone. His body still persists in a vegetative state, but his mind is completely empty. As his last gambit to defy Norman Osborn, in his living will he gave power of attorney to Dr. Donald Blake... also known as The Mighty Thor. Now, Captain America, Thor, the Black Widow, Maria Hill and Pepper Potts meet to decide the final fate of Tony Stark. He's got a plan to restore himself, but he acknowledges that his colleagues will have to decide whether he deserves to.	Marvel Comics	Invincible Iron Man	Matt Fraction	20	75960606427402011
Howard Chaykin		Civil War - New Avengers: Disassembled, Part One		In the wake of the Superhuman Registration Act, Cap and Falcon try to recruit Hank Pym to help the underground, and instead manage to escape without getting arrested.	Marvel Comics	New Avengers, Vol. 1	Brian Michael Bendis	21	75960605547002111
	Leinil Francis Yu	Infinity, Emancipation		INFINITY TIE-IN - 'AVENGERS UNIVERSE: IV'  - The final battle for the Marvel universe begins.  - The fall of a Galactic empire.  - The rise of a new one.	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	21	75960607902502111
	Paul Rivoche	Iron Metropolitan, Part 4		'IRON METROPOLITAN' PART FOUR! - RED PERIL investigates the Stark Boy's Troy - and beneath the tech and the bombings, finds the truth about the city. - TONY investigates the Mandarins, and finds a meeting between THE EXILE, RED PERIL and... LORD MANDARIN. - Arno's last day in the Iron Lung.	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	21	75960607909402111
	Giuseppe Cammuncoli	Lethal Ladies		Stunner is back and wants revenge for the only man she ever loved - Otto Octavius! How will she avenge him? By killing the Superior Spider-Man!	Marvel Comics	Superior Spider-Man	Dan Slott	21	75960607912402111
Mike Perkins	Steve Epting	Civil War - The Drums of War, Part One		Sharon Carter is spending some time with the S.H.I.E.L.D. psychologist, detailing what she's been doing with Steve and the Registration Act, but failing to explain why, even to herself.  She refused to trap him for S.H.I.E.L.D. even though she supports the Act, and she's not the type of person that puts love ahead of duty.  The readers learn the full extent of the influences over her when her psychologist has a clandestine meeting in a cemetary.	Marvel Comics	Captain America, Vol. 5	Ed Brubaker	22	75960605652102211
	Leinil Francis Yu	Civil War - New Avengers: Disassembled, Part Two		On the eve of the registration act, Iron Man and Ms. Marvel attempt to persuade Luke Cage and Jessica Jones to register with the SRA, but they refuse.  Luke sends Jessica, and their baby daughter to Canada, but refuses to either toe the line with the registration act, or to flee from his home.  As it looks like S.H.I.E.L.D. is going to take Luke in, Captain America, Daredevil and the Falcon show up to bail him out.	Marvel Comics	New Avengers, Vol. 1	Brian Michael Bendis	22	75960605547002211
	Humberto Ramos	Darkest Hours, Part 1: Beginnings		The first issue in THE DARKEST HOUR, the Spider-Event of the year! Flash Thompson, the Secret Avenger known as Venom, is back in town for his first run-in with the Superior Spider-Man! Will their first encounter be friendly, or will Flash sense something perilous about Peter Parker's presence?	Marvel Comics	Superior Spider-Man	Christos N. Gage; Dan Slott	22	75960607912402211
	Leinil Francis Yu	Infinity, To the Earth...		INFINITY TIE-IN - 'AVENGERS UNIVERSE: V'  - The Avengers return to our Solar System.  - The battle for Earth starts in the heavens.  - The Black Order makes their move.	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	22	75960607902502211
Mike Perkins	Steve Epting	Civil War - The Drums of War, Part Two		The Winter Soldier has infiltrated a S.H.I.E.L.D. outpost, working in conjunction with Nick Fury.  Fury has convinced him to plant a bug on a Fury LMD, giving Fury full access to everything the LMD has access to.  While there, Bucky also discovers the current whereabouts of Lukin, which disturbs him greatly.	Marvel Comics	Captain America, Vol. 5	Ed Brubaker	23	75960605652102311
		Civil War - New Avengers: Disassembled, Part Three		S.H.I.E.L.D. forces capture Jessica Drew, and bring her in for treason.  Iron Man has told Maria Hill about Jessica's status as a triple agent, reporting not only to S.H.I.E.L.D. but also directly to Nick Fury, and to Hydra.  As she's being debriefed, the helicarrier is struck by an EMP.  Hydra agents storm the ship in all the chaos to rescue Jessica.  Having burned all of her other bridges, she meets up with the resistance in one of Nick Fury's old safehouses and begs to be taken in.	Marvel Comics	New Avengers, Vol. 1	Brian Michael Bendis	23	75960605547002311
	Humberto Ramos	Darkest Hours, Part 2		DARKEST HOURS Part 2 of 4: 'Complications' - As Otto Octavius takes another big step in his life as Peter Parker... could a big part of Flash Thompson's life be coming to a close? Will he be... VENOM NO MORE?! - More with MJ! More with Carlie! More with the Green Goblin! And, after half a century, one of the most cringe-worthy moments in ALL of Spidey-history! You do NOT want to miss this one!	Marvel Comics	Superior Spider-Man	Christos N. Gage; Dan Slott	23	75960607912402311
Leinil Francis Yu	Leinil Francis Yu	Infinity, ...To the Very End		INFINITY TIE-IN - 'AVENGERS UNIVERSE: VI' - The Avengers versus the Black Order. - The battle for Earth moves planetside. - Thanos takes center stage.	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	23	75960607902502311
		Rings of the Mandarin, Chapter One		AN ALL-NEW EPIC BEGINS, 'RINGS OF THE MANDARINS' MALEKITH THE ACCURSED has a problem with IRON MAN. Malekith the Accursed has a problem with pretty much EVERYONE. Cutting edge science versus the most arcane science imaginable, all in a bath of blood. Which classic MARVEL UK character returns in a reinvented form after the REVOLUTIONARY WAR?	Marvel Comics	Iron Man, Vol. 5		23	75960607909402311
		Ultimate Danger!		Tony Stark is outraged to discover Stark-Fujikawa has found Ultimo and is using him as a power source for an offsea vessel.  The risk increases when Sapper and Golden-Blade arrive and interfere, and Tony is forced to make sure a drunken Warbird won't make things worse.	Marvel Comics	Iron Man, Vol. 3		23	75960604457302311
Salvador Larroca; Esad Ribic; Mike Deodato Jr.; Jackson 'Butch' Guice	Esad Ribic	Rogue Planet, Part 1		'ROGUE PLANET' - Part 1 of 5 - Captain America and Iron Man plan for the next version of the Avengers. - A runaway planet is on a collision course with Earth. - A visitor from the future helps save the day. - AVENGERS #24.NOW = AVENGERS #1 IN ALL-NEW MARVEL NOW!	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	24	75960607902502411
Mike Perkins	Steve Epting	Civil War - The Drums of War, Part Three			Marvel Comics	Captain America, Vol. 5	Ed Brubaker	24	75960605652102411
Paul Smith	Adi Granov	Civil War - New Avengers: Disassembled, Part Four		The Sentry heads to the moon to escape the Civil War, where he is met by the Inhumans, who have declared war against Earth.  They do allow him to stay the night, but Iron Man comes uninvited to take him home.	Marvel Comics	New Avengers, Vol. 1	Brian Michael Bendis	24	75960605547002411
	Humberto Ramos	Darkest Hours, Part 3		DARKEST HOURS Part 3 of 4: 'Complications' - The birth of a new Goblin! The return of Cardiac! MJ's greatest fear! - And the one question everyone will be asking: 'Who is THE SUPERIOR VENOM?!' - Good luck, Superior Spider-Man! You're gonna need it!	Marvel Comics	Superior Spider-Man	Christos N. Gage; Dan Slott	24	75960607912402411
		Rings of the Mandarin, Chapter Two		THE NEW EPIC CONTINUES, 'RINGS OF THE MANDARINS' - TONY STARK on a black op behind enemy lines that goes horribly wrong? He's fine with that. - When the enemy lines is 'Svartalfheim, home of the Dark Elves' and MALEKITH THE ACCURSED wants to wear your skin, things get complicated. - Will Tony have to resort to a very special IRON MAN suit?	Marvel Comics	Iron Man, Vol. 5		24	75960607909402411
Salvador Larroca	Mike Deodato Jr.	Rogue Planet, Carve a Hole... Climb Inside		'THE MIRROR' - It worked for the X-Men! Would we be so crass as to do it again? Introducing the ALL-NEW AVENGERS! - And we've been good up till now, but this issue, an Avenger dies.	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	25	75960607902502511
		Civil War - New Avengers: Disassembled, Part Five		A disgruntled employee uses his inside knowledge to break into Avengers Tower and attempt to kill Tony Stark.  Only through a rather gutsy move by Maria Hill does Tony survive, at which point he has a rather private and personal conversation with Director Hill on the helicarrier.	Marvel Comics	New Avengers, Vol. 1	Brian Michael Bendis	25	75960605547002511
	Humberto Ramos	Darkest Hours, Part 4: Conclusion		Special super-sized 25th issue! - Otto Octavius, the Superior Spider-Man, in a life-or-death struggle against the original Superior Venom! - Plus: With one last goblin on his side, the Goblin King's court is now complete! - Guest starring: The Avengers!	Marvel Comics	Superior Spider-Man	Christos N. Gage; Dan Slott	25	75960607912402511
Salvador Larroca	Salvador Larroca; Tetsuya Aoki	Stark Resilient, Part 1: Hammer Girls		Written by MATT FRACTION Pencils & 50/50 Covers by SALVADOR LARROCA Foilogram Variant by RYAN MEINERDING MOVIE VARIANT ALSO AVAILABLE IRON MAN BY DESIGN VARIANT by JOE KUBERT Double-sized issue! Co-released alongside this summer's surefire blockbuster hit IRON MAN 2, this issue is the perfect jumping-on point for fans of the films and readers new and old alike! New year. New decade. New trade dress. New threats. New loves. New armor. New Tony Stark. New storyline: RESILIENT. Get onboard the Eisner-award winning INVINCIBLE IRON MAN here! 48 PGS./Rated A ?$3.99	Marvel Comics	Invincible Iron Man	Matt Fraction	25	75960606427402511
	Ryan Stegman	Goblin Nation, Prelude: Goblin Wars		GOBLIN NATION PRELUDE - The stage is set for the biggest SUPERIOR SPIDER-MAN story of them all! - And it starts here with a goblin fight like no other: The Green Goblin vs. The Original Hobgoblin! - Plus: That thing that happened at the end of #25... That thing that raised all of those questions... You don't have to wait any longer. You'll get your answers THIS ISSUE! Honest.	Marvel Comics	Superior Spider-Man	Dan Slott	26	75960607912402611
	Giuseppe Cammuncoli	Goblin Nation, Part 1			Marvel Comics	Superior Spider-Man	Dan Slott	27	75960607912402712
		The Mask in Iron Man, Part Two: The Dream Machine		It seems as though all of Tony's worst fears have come to pass.  He's even hit with one that he never expected; a combination of his lack of defense against Y2K and using his armour as a conduit for Jocasta has resulting in a technological evolution that he wasn't prepared for.	Marvel Comics	Iron Man, Vol. 3	Joe Quesada	27	75960604457302711
Salvador Larroca	Salvador Larroca	Stark Resilient, Part 3: This Is What We Do		Written by MATT FRACTION Pencils & Cover by SALVADOR LARROCA Special Variant by TBA The Eisner-award winning Iron Man is back, riding high on the biggest movie of the summer! But when an enhanced armor terror attack puts Tokyo and her citizens on the brink, it's the invincible?Detroit Steel to the rescue? Halfway around the world, Tony Stark has his hands full when Pepper goes under the knife, and we welcome back a familiar face as Stark Resilient makes its first new hire. Meanwhile, the insidious Hammer girls keep making moves in the destructive game they're playing. Will the new Stark survive the trip to the launch pad, let alone ever get off the ground? Not looking great. 32 PGS./Rated A ?$2.99	Marvel Comics	Invincible Iron Man	Matt Fraction	27	75960606427402711
	Giuseppe Camuncoli	Goblin Nation, Part 2		'Goblin Nation' #2 (of 5) - Goblins! Spiderlings! Super villains! Giant robots! It can only mean one thing: ASSAULT ON SPIDER-ISLAND! - If you want to see people standing around talking, read another comic. Want to see heroes having a fist fight, go somewhere else? - You are IN the GOBLIN NATION and this is ALL-OUT WAR!	Marvel Comics	Superior Spider-Man	Dan Slott	28	75960607912402811
Salvador Larroca	Salvador Larroca	Stark Resilient, Part 4: Grand Mal Tokyo Moron Party		Written by MATT FRACTION Pencils & Cover by SALVADOR LARROCA Iron Man and War Machine are holding the bag after the Tokyo attacks make Detroit Steel look like a hero! As Tony, Rhodey and Hill get to the bottom of who masterminded the terror attempt, the fledgling company Stark Resilent takes its first baby steps toward growth?and Tony draws a link between Hammer Industries and an old foe that almost killed him? 32 PGS./Rated A ?$2.99	Marvel Comics	Invincible Iron Man	Matt Fraction	28	75960606427402811
		Goblin Nation, Part 3		'Goblin Nation' - Part 3 of 5 - The Spider-Slayer Squadron were supposed to be under Mayor J. Jonah Jameson's control... - ...but now they've been drafted into The Goblin Nation! - Guest Starring: Spider-Man 2099!	Marvel Comics	Superior Spider-Man		29	75960607912402911
Salvador Larroca	Salvador Larroca	Stark Resilient, Part 5: Predators and Prey in their Natural Environments		Written by MATT FRACTION Art & Cover by SALVADOR LARROCA Women of Marvel Frame Variant by TBA When you think of the greatest mechanized hero of the modern era, only two words come to mind: DETROIT STEEL. You wanted the best? You got the best. But the best comes at a price.  Meanwhile Pepper Potts is on the road to recovery, but nothing is free from complication in Tony Stark's world -- and this one's a doozy, even if it means the debut of an all-new RESCUE. The Pentagon keep shutting War Machine out, and the new offices of Stark Resilient let everyone in for a big coming-out party...with special guests Justine and Sasha Hammer. 32 PGS./Rated A ?$2.99	Marvel Comics	Invincible Iron Man	Matt Fraction	29	75960606427402911
Roberto De La Torre	Adi Granov	With Iron Hands, Part One		Iron Man is out dealing with many different crises, from nanotech nuclear devices to terrorists to rogue S.H.I.E.L.D. agents, but in spite of all of this, his greatest challenge seems to be delegating.	Marvel Comics	Iron Man, Vol. 4	Stuart Moore	29	75960605653802911
		Goblin Nation, Part 4		'Goblin Nation' - Part 4 of 5 - Since the start of DYING WISH, it has ALL been building to this. - One of the most important moments of the ENTIRE Superior Spider-Man Saga! - Once this happens, it CANNOT be undone! - DO NOT MISS THIS ISSUE!	Marvel Comics	Superior Spider-Man		30	75960607912403011
Salvador Larroca	Salvador Larroca	Stark Resilient, Part 6: Tony, We Don't Want to Destroy You		Written by MATT FRACTION Art & Cover by SALVADOR LARROCA Super Hero Squad Variant also available The only thing more shocking than the first three pages are the last three pages! It's the meeting 30 issues in the making: Tony Stark and Sasha Hammer, at long last, face to face. The gang at Stark Resilient burn the midnight oil against an impossible deadline -- but if they don't get Project Daylight off the ground they're doomed before they start. They're not the only one manufacturing their world-changer, though -- the Hammer Girls are building an army of drone bombers as air support for Detroit Steel! 32 PGS./Rated A ?$2.99	Marvel Comics	Invincible Iron Man	Matt Fraction	30	75960606427403011
	Adi Granov	With Iron Hands, Part Two		Stark is forced to face off against old mistakes.  A former researcher, contracted by Stark Industries so Stark could get access to his research, has taken Stark's research and used it in a different way than originally intended.  Stark is busy dealing with that when a skeleton from S.H.I.E.L.D.'s closet shows up at the helicarrier with a new and unusual ally.	Marvel Comics	Iron Man, Vol. 4	Stuart Moore	30	75960605653803011
